,Image,Accuracy,F1,Jaccard,Recall,Precision
117,0300_121_original,0.998046875,0.8873735151781786,0.7975484381178332,0.9945759368836292,0.801032565528197
118,0301_126_original,0.9998321533203125,0.9965354330708661,0.9930947897049592,0.9960648512513773,0.9970064597447613
119,0303_117_original,0.9997062683105469,0.993858179787828,0.9877913429522752,0.9879479860450364,0.9998395121168352
120,0303_53_original,0.9991493225097656,0.9549221750555893,0.9137330754352031,0.9911875786823332,0.9212168486739469
121,0307_142_original,0.9994888305664062,0.9886247877758914,0.9775054557663253,0.9775054557663253,1.0
122,0307_95_original,0.9998283386230469,0.9920424403183024,0.9842105263157894,0.9946808510638298,0.9894179894179894
123,0308_62_original,0.9995880126953125,0.9817258883248731,0.9641076769690927,0.9993110575266965,0.96474891918856
124,0312_67_original,0.9997978210449219,0.9955293125263602,0.9910984212294256,0.9994918699186992,0.9915980507477735
125,0319_125_original,0.9986457824707031,0.9512161605057029,0.9069706498951782,0.9974063400576368,0.9091147885474127
126,0321_146_original,0.9984397888183594,0.9507169538498614,0.9060633899862196,0.9982287449392713,0.9075224292615597
127,0324_71_original,0.9973297119140625,0.9289772727272727,0.8673740053050398,1.0,0.8673740053050398
128,0324_74_original,0.9984474182128906,0.9391720221192646,0.8853198083967315,1.0,0.8853198083967315
129,0329_51_original,0.9997711181640625,0.9941222570532915,0.9883132060771328,0.9883132060771328,1.0
130,0330_97_original,0.9993972778320312,0.9490322580645161,0.9030079803560467,1.0,0.9030079803560467
131,0332_105_original,0.9996757507324219,0.9636907304570697,0.9299258037922506,1.0,0.9299258037922506
132,0333_38_original,0.9996566772460938,0.9562256809338522,0.9161230195712954,1.0,0.9161230195712954
133,0334_154_original,0.9996185302734375,0.9438832772166106,0.8937300743889479,1.0,0.8937300743889479
134,0335_116_original,0.9995841979980469,0.989410278830273,0.9790424918284946,1.0,0.9790424918284946
135,0336_55_original,0.9985389709472656,0.7471947194719472,0.5964172813487882,1.0,0.5964172813487882
136,0338_49_original,0.9998397827148438,0.9962311557788944,0.9924906132665833,0.9935564703776625,0.998920280727011
137,0341_40_original,0.9998207092285156,0.8553846153846154,0.7473118279569892,1.0,0.7473118279569892
138,0347_86_original,0.9997825622558594,0.9959782685387709,0.9919887561489811,0.9994335882186349,0.9925467585431023
139,0352_130_original,0.9997177124023438,0.9946785560189846,0.9894134477825465,0.9894134477825465,1.0
140,0356_26_original,0.9990005493164062,0.9787819889860706,0.9584456780333069,0.9584456780333069,1.0
141,0376_145_original,0.9990386962890625,0.9845018450184502,0.9694767441860465,1.0,0.9694767441860465
142,0380_36_original,0.99908447265625,0.9860302677532014,0.9724454649827784,1.0,0.9724454649827784
143,0382_81_original,0.9992103576660156,0.988173455978975,0.9766233766233766,1.0,0.9766233766233766
144,0383_58_original,0.9991722106933594,0.9876823522733723,0.9756644611416395,1.0,0.9756644611416395
145,0387_113_original,0.9988288879394531,0.9826739657994243,0.9659380894263841,1.0,0.9659380894263841
146,0389_119_original,0.9995574951171875,0.9933033137051149,0.9866957219864664,1.0,0.9866957219864664
147,0393_77_original,0.9993820190429688,0.9901948916596054,0.9805801965955406,1.0,0.9805801965955406
148,0396_87_original,0.9999618530273438,0.999337397296581,0.9986756720964111,0.9994698475811796,0.9992049821120975
149,0397_12_original,0.9998016357421875,0.9964038727524205,0.9928335170893055,0.9928335170893055,1.0
150,0411_128_original,0.9999237060546875,0.9753694581280788,0.9519230769230769,1.0,0.9519230769230769
151,0417_14_original,0.9999847412109375,0.9850746268656716,0.9705882352941176,0.9850746268656716,0.9850746268656716
152,0423_13_original,0.9999008178710938,0.0,0.0,0.0,1.0
153,0425_34_original,0.9998931884765625,0.0,0.0,0.0,1.0
154,0426_45_original,0.999908447265625,0.0,0.0,0.0,1.0
155,0427_41_original,0.9999008178710938,0.0,0.0,0.0,1.0
